Fixation X,Fixation Y,Valid Fixation
0.58459373,0.41988827,1
0.57870312,0.41334133,1
0.57148884,0.39776569,1
0.56779255,0.35299633,1
0.56572536,0.32618275,1
0.56328991,0.32757755,1
0.56238976,0.32586224,1
0.51293945,0.3303672,1
0.51046715,0.35774494,1
0.51046715,0.36207382,1
0.51285374,0.36242035,1
0.51433853,0.36146408,1
0.51442608,0.36051086,1
0.5157896,0.35811161,1
0.51701454,0.35485939,1
0.51907162,0.333414,1
0.52191555,0.32768402,1
0.50866261,0.32378838,1
0.59481346,0.29440321,1
0.59116993,0.2276066,1
0.59095882,0.22705757,1
0.58939632,0.2276066,1
0.58851429,0.22778873,1
0.58904373,0.21890345,1
0.58968475,0.22155724,1
0.58047947,0.26838808,1
0.56705555,0.30179985,1
0.5472662,0.30545877,1
0.64452583,0.52950611,1
0.64452583,0.52950611,1
0.6438147,0.52950611,1
0.64310349,0.52927074,1
0.64544281,0.52613098,1
0.64739044,0.52312943,1
0.64819,0.52259735,1
0.65028976,0.52123356,1
0.65014763,0.52283234,1
0.65080238,0.52409523,1
0.65280266,0.5262204,1
0.65448463,0.52761692,1
0.65716087,0.52627106,1
0.65900146,0.52320129,1
0.66051682,0.52231819,1
0.66266418,0.52222408,1
0.66375175,0.52404118,1
0.66453697,0.52431984,1
0.66450516,0.52330849,1
0.6646257,0.52104683,1
0.66546875,0.52048077,1
0.66694305,0.50905216,1
0.66720016,0.49556526,1
0.66651711,0.47976028,1
0.66553856,0.47792812,1
0.66369995,0.47576626,1
0.66170532,0.46918064,1
0.66078049,0.46993576,1
0.66327499,0.46873764,1
0.66530685,0.4647924,1
0.66578255,0.46269421,1
0.67221054,0.46113056,1
0.6968589,0.46205067,1
0.69787842,0.45819565,1
0.47899712,0.41085732,1
0.47901047,0.41292095,1
0.479006,0.40900757,1
0.47846107,0.41027367,1
0.47653492,0.413265,1
0.47136127,0.41772491,1
0.46835129,0.41877819,1
0.46249561,0.41935963,1
0.46459087,0.41572105,1
0.46624378,0.41321789,1
0.46521503,0.41536175,1
0.46397221,0.41829475,1
